Source,Log Type,Destination(s),Links,Notes
ACM,Certificate Transparency Logs,Published Publicly,https://docs.aws.amazon.com/acm/latest/userguide/acm-bestpractices.html#best-practices-transparency,
API Gateway,Access Logs,CloudWatch Logs,https://docs.aws.amazon.com/apigateway/latest/developerguide/set-up-logging.html,
Amplify,Access Logs,Download as CSV,https://docs.aws.amazon.com/amplify/latest/userguide/access-logs.html,
App Mesh,Access Logs,Sent to Envoy and K8s,https://docs.aws.amazon.com/app-mesh/latest/userguide/observability.html,
AppSync,Debug Logs,CloudWatch Logs,https://docs.aws.amazon.com/appsync/latest/devguide/monitoring.html,
Aurora,Detailed Acitivity Logs,Kinesis Data Stream,https://docs.aws.amazon.com/AmazonRDS/latest/AuroraUserGuide/DBActivityStreams.html,
AutoScaling,ASG State Change Events,SNS,https://docs.aws.amazon.com/autoscaling/ec2/userguide/ASGettingNotifications.html,
Audit Manager,Control Activity Logs,Via API or UI,https://docs.aws.amazon.com/audit-manager/latest/userguide/review-controls.html#review-changelog,
Batch,Container Logs,"CloudWatch Logs, Splunk, Syslog",https://aws.amazon.com/blogs/compute/custom-logging-with-aws-batch/,"Splunk, Syslog"
Chime,SIP Message Logs,CloudWatch Logs,https://docs.aws.amazon.com/chime/latest/ag/monitoring-cloudwatch.html#cw-logs,
CloudFormation,Stack Events,Console,https://aws.amazon.com/premiumsupport/knowledge-center/cloudformation-rollback-email/,Only available via UI/API
CloudFront,Standard Logs,S3,https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/AccessLogs.html,
CloudFront,Real-Time Logs,Kinesis Data Stream,https://docs.aws.amazon.com/AmazonCloudFront/latest/DeveloperGuide/real-time-logs.html,
CloudHSM,Audit Logs,CloudWatch Logs,https://docs.aws.amazon.com/cloudhsm/latest/userguide/get-audit-logs-from-cloudwatch.html,
CloudTrail,AWS Account Audit Logs,"S3, CloudWatch",https://docs.aws.amazon.com/awscloudtrail/latest/userguide/cloudtrail-create-and-update-a-trail.html,
