Service,Data,AWS Organizations Support,AWS RAM Support,Service-Level Integration,Notes,Link
Access Analyzer,Findings,Yes,No,Yes,Delegated admin,https://docs.aws.amazon.com/IAM/latest/UserGuide/access-analyzer-settings.html
ACMPCA,Private CAs,Yes,Yes,No,Via RAM,https://aws.amazon.com/blogs/security/how-to-use-aws-ram-to-share-your-acm-private-ca-cross-account/
API Gateway,Lambda Proxy Backends,No,No,Yes,,https://docs.aws.amazon.com/apigateway/latest/developerguide/apigateway-cross-account-lambda-integrations.html
API Gateway,Authorizers,No,No,Yes,,https://docs.aws.amazon.com/apigateway/latest/developerguide/apigateway-lambda-authorizer-cross-account-lambda-authorizer.html
API Gateway,Private APIs,No,No,Yes,,https://docs.aws.amazon.com/apigateway/latest/developerguide/apigateway-resource-policies.html
AppFlow,Application Data,No,No,No,Via privatelink,https://aws.amazon.com/blogs/apn/building-secure-and-private-data-flows-between-aws-and-salesforce-using-amazon-appflow/
App Mesh,Application Meshes,Yes,Yes,No,Via RAM,https://docs.aws.amazon.com/app-mesh/latest/userguide/sharing.html
AppSync,Data Sources,No,No,No,Via Lambda,https://aws.amazon.com/blogs/mobile/appsync-lambda-cross-account/
Artifact,Compliance Artifacts,Yes,No,Yes,,https://docs.aws.amazon.com/artifact/latest/ug/manage-org-agreement.html
Athena*,"Data Catalogs, S3 Buckets",No,No,Yes,Outbound access to objects,https://docs.aws.amazon.com/athena/latest/ug/cross-account-permissions.html
Audit Manager,Audit Reports and Evidence,Yes,No,Yes,,https://docs.aws.amazon.com/organizations/latest/userguide/services-that-can-integrate-audit-manager.html
Backup,"Backup Policies, Backed Up Data",Yes,No,Yes,,https://docs.aws.amazon.com/aws-backup/latest/devguide/create-cross-account-backup.html
Batch*,S3 Bucket Data Stores,No,No,No,Technically uses S3 policies,https://aws.amazon.com/blogs/storage/cross-account-bulk-transfer-of-files-using-amazon-s3-batch-operations/
Budgets,Budget Usage Data,Yes,No,Yes,Org can setup for member account,https://docs.aws.amazon.com/awsaccountbilling/latest/aboutv2/budgets-managing-costs.html
CloudFormation,StackSets,Yes,No,Yes,,https://docs.aws.amazon.com/AWSCloudFormation/latest/UserGuide/what-is-cfnstacksets.html
CloudFront,Origin,No,No,No,,https://dlim716.medium.com/aws-cloudfront-cross-account-s3-origin-setup-99dcaa51e39d
CloudFront,Logs,No,No,No,,https://serverfault.com/questions/933795/configure-aws-cloudfront-to-log-to-s3-bucket-in-another-aws-account
CloudHSM,HSM Clusters,No,No,No,Via RAM,https://aws.amazon.com/premiumsupport/knowledge-center/cloudhsm-share-clusters/
CloudSearch,Search Domains,No,No,Yes,Via resource policy,https://docs.aws.amazon.com/cloudsearch/latest/developerguide/configuring-access.html
CloudTrail,Logs,Yes,No,Yes,BOTH S3 and Org access,https://docs.aws.amazon.com/organizations/latest/userguide/services-that-can-integrate-cloudtrail.html
CloudWatch,"Metrics, Alarms, Dashboards",Yes,No,Yes,,https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/Cross-Account-Cross-Region.html
CloudWatch,Logs,No,No,Yes,Via Subscriptions + Kinesis,https://docs.aws.amazon.com/AmazonCloudWatch/latest/logs/CrossAccountSubscriptions.html
CloudWatch,Events,Yes,No,Yes,,https://docs.aws.amazon.com/AmazonCloudWatch/latest/events/CloudWatchEvents-CrossAccountEventDelivery.html
CodeArtifact,"Domains, Repositories",No,No,Yes,Via resource policies,https://docs.aws.amazon.com/codeartifact/latest/ug/domain-policies.html
